ImageId,Label
1,2
2,0
3,7
4,6
5,3
6,6
7,0
8,3
9,0
10,3
11,5
12,6
13,4
14,0
15,4
16,3
17,3
18,1
19,8
20,0
21,8
22,1
23,1
24,5
25,7
26,4
27,2
28,6
29,5
30,6
31,6
32,4
33,4
34,2
35,5
36,3
37,5
38,4
39,2
40,5
41,6
42,6
43,4
44,8
45,6
46,6
47,7
48,3
49,5
50,5
51,5
52,7
53,6
54,3
55,7
56,2
57,1
58,3
59,3
60,3
61,4
62,1
63,6
64,0
65,0
66,0
67,1
68,7
69,0
70,1
71,5
72,4
73,6
74,7
75,3
76,5
77,5
78,8
79,2
80,3
81,5
82,5
83,1
84,0
85,8
86,2
87,4
88,4
89,5
90,6
91,2
92,0
93,5
94,5
95,2
96,4
97,4
98,7
99,6
100,4
101,0
102,6
103,2
104,0
105,6
106,4
107,0
108,4
109,0
110,5
111,1
112,0
113,4
114,4
115,1
116,5
117,1
118,1
119,4
120,4
121,3
122,7
123,2
124,5
125,5
126,3
127,6
128,7
129,5
130,4
131,3
132,5
133,5
134,0
135,0
136,0
137,3
138,1
139,3
140,3
141,4
142,3
143,4
144,4
145,4
146,7
147,7
148,6
149,2
150,6
151,4
152,3
153,5
154,5
155,4
156,3
157,7
158,4
159,6
160,7
161,3
162,0
163,4
164,5
165,1
166,3
167,6
168,5
169,3
170,0
171,2
172,6
173,7
174,6
175,1
176,3
177,7
178,4
179,1
180,2
181,4
182,5
183,5
184,2
185,4
186,8
187,2
188,1
189,5
190,0
191,5
192,1
193,4
194,7
195,5
196,0
197,8
198,6
199,3
200,8
201,1
202,8
203,0
204,6
205,8
206,0
207,7
208,4
209,5
210,2
211,0
212,8
213,3
214,5
215,6
216,3
217,1
218,5
219,3
220,4
221,2
222,3
223,1
224,2
225,2
226,3
227,5
228,5
229,1
230,0
231,0
232,4
233,8
234,1
235,6
236,3
237,2
238,3
239,6
240,5
241,6
242,5
243,2
244,5
245,5
246,4
247,6
248,6
249,3
250,4
251,8
252,6
253,1
254,4
255,7
256,5
257,5
258,1
259,4
260,4
261,5
262,3
263,4
264,5
265,7
266,0
267,5
268,7
269,4
270,1
271,5
272,0
273,5
274,3
275,6
276,5
277,1
278,5
279,7
280,4
281,0
282,7
283,2
284,1
285,5
286,3
287,7
288,4
289,8
290,8
291,5
292,7
293,7
294,8
295,7
296,5
297,3
298,0
299,3
300,3
301,5
302,8
303,7
304,2
305,5
306,3
307,6
308,1
309,4
310,4
311,7
312,5
313,7
314,2
315,0
316,3
317,6
318,4
319,1
320,6
321,5
322,1
323,1
324,8
325,7
326,4
327,4
328,1
329,5
330,5
331,5
332,3
333,1
334,3
335,0
336,8
337,0
338,2
339,5
340,3
341,5
342,3
343,1
344,7
345,5
346,0
347,5
348,5
349,2
350,4
351,5
352,6
353,6
354,3
355,5
356,7
357,6
358,8
359,2
360,5
361,5
362,5
363,3
364,6
365,5
366,2
367,3
368,5
369,1
370,5
371,4
372,6
373,6
374,8
375,7
376,5
377,8
378,5
379,3
380,6
381,5
382,4
383,5
384,5
385,2
386,5
387,3
388,1
389,3
390,6
391,1
392,7
393,6
394,8
395,5
396,1
397,1
398,1
399,7
400,3
401,8
402,6
403,5
404,1
405,1
406,1
407,6
408,3
409,5
410,5
411,4
412,2
413,4
414,1
415,2
416,4
417,1
418,1
419,3
420,4
421,8
422,5
423,5
424,5
425,4
426,1
427,4
428,6
429,6
430,6
431,4
432,7
433,4
434,2
435,4
436,1
437,3
438,8
439,5
440,1
441,7
442,4
443,6
444,4
445,4
446,4
447,1
448,4
449,3
450,8
451,6
452,6
453,5
454,8
455,4
456,8
457,3
458,3
459,4
460,5
461,4
462,7
463,5
464,1
465,5
466,1
467,6
468,4
469,4
470,1
471,1
472,4
473,8
474,5
475,5
476,0
477,4
478,3
479,1
480,0
481,4
482,6
483,1
484,2
485,6
486,8
487,4
488,6
489,3
490,6
491,4
492,4
493,2
494,4
495,4
496,5
497,5
498,3
499,2
500,0
501,5
502,5
503,7
504,4
505,1
506,6
507,3
508,3
509,1
510,3
511,7
512,5
513,7
514,5
515,5
516,3
517,4
518,6
519,4
520,3
521,4
522,8
523,0
524,6
525,6
526,1
527,0
528,1
529,1
530,6
531,0
532,5
533,3
534,7
535,4
536,4
537,5
538,5
539,5
540,3
541,1
542,2
543,7
544,2
545,0
546,3
547,0
548,8
549,2
550,1
551,1
552,3
553,0
554,4
555,2
556,0
557,6
558,5
559,5
560,2
561,2
562,3
563,6
564,1
565,5
566,5
567,4
568,1
569,2
570,5
571,5
572,4
573,4
574,5
575,0
576,4
577,6
578,2
579,4
580,2
581,4
582,1
583,4
584,5
585,8
586,1
587,6
588,3
589,7
590,3
591,7
592,7
593,5
594,4
595,3
596,5
597,5
598,5
599,0
600,4
601,3
602,1
603,6
604,1
605,5
606,2
607,7
608,4
609,4
610,5
611,7
612,4
613,3
614,3
615,2
616,4
617,6
618,0
619,0
620,8
621,7
622,4
623,8
624,4
625,0
626,7
627,4
628,4
629,5
630,4
631,5
632,1
633,7
634,5
635,1
636,4
637,6
638,7
639,7
640,3
641,1
642,7
643,8
644,5
645,6
646,5
647,4
648,6
649,1
650,7
651,5
652,8
653,1
654,1
655,6
656,2
657,4
658,3
659,3
660,6
661,2
662,3
663,4
664,0
665,4
666,6
667,1
668,3
669,4
670,5
671,3
672,8
673,4
674,3
675,5
676,6
677,6
678,4
679,5
680,0
681,5
682,8
683,7
684,5
685,1
686,4
687,4
688,5
689,7
690,8
691,2
692,5
693,0
694,1
695,6
696,4
697,3
698,8
699,7
700,7
701,4
702,1
703,5
704,0
705,5
706,1
707,5
708,4
709,5
710,4
711,3
712,6
713,1
714,5
715,6
716,5
717,2
718,3
719,6
720,6
721,8
722,3
723,1
724,0
725,1
726,2
727,5
728,5
729,5
730,4
731,7
732,1
733,3
734,2
735,6
736,6
737,1
738,5
739,1
740,4
741,4
742,4
743,3
744,4
745,3
746,8
747,2
748,7
749,6
750,5
751,4
752,8
753,4
754,4
755,3
756,4
757,7
758,1
759,1
760,5
761,4
762,0
763,4
764,0
765,4
766,0
767,1
768,5
769,1
770,7
771,5
772,5
773,0
774,1
775,5
776,3
777,4
778,5
779,3
780,1
781,1
782,5
783,7
784,7
785,3
786,5
787,4
788,5
789,5
790,6
791,4
792,1
793,4
794,0
795,4
796,3
797,1
798,6
799,8
800,7
801,1
802,1
803,3
804,3
805,1
806,5
807,8
808,5
809,5
810,1
811,5
812,5
813,4
814,3
815,3
816,4
817,0
818,8
819,7
820,4
821,3
822,0
823,4
824,0
825,1
826,8
827,0
828,4
829,4
830,2
831,6
832,4
833,4
834,7
835,3
836,8
837,5
838,1
839,4
840,4
841,1
842,8
843,0
844,7
845,5
846,5
847,6
848,2
849,5
850,4
851,7
852,8
853,6
854,6
855,2
856,6
857,1
858,3
859,5
860,4
861,0
862,5
863,1
864,4
865,3
866,3
867,5
868,8
869,2
870,3
871,5
872,4
873,4
874,2
875,4
876,5
877,1
878,1
879,0
880,1
881,4
882,6
883,1
884,1
885,2
886,6
887,1
888,5
889,4
890,8
891,1
892,7
893,5
894,0
895,4
896,2
897,8
898,5
899,1
900,1
901,5
902,3
903,4
904,7
905,6
906,6
907,6
908,3
909,2
910,6
911,2
912,1
913,4
914,6
915,1
916,5
917,4
918,5
919,1
920,4
921,5
922,3
923,4
924,7
925,4
926,6
927,8
928,5
929,5
930,3
931,3
932,2
933,1
934,4
935,4
936,3
937,7
938,6
939,8
940,4
941,5
942,2
943,5
944,1
945,1
946,8
947,3
948,2
949,8
950,2
951,5
952,6
953,4
954,3
955,3
956,2
957,6
958,3
959,2
960,2
961,7
962,8
963,4
964,0
965,5
966,4
967,1
968,7
969,7
970,4
971,3
972,2
973,7
974,5
975,6
976,1
977,7
978,1
979,7
980,3
981,4
982,7
983,7
984,6
985,7
986,6
987,0
988,4
989,3
990,2
991,1
992,8
993,3
994,5
995,6
996,3
997,5
998,2
999,2
1000,8
1001,0
1002,7
1003,0
1004,6
1005,1
1006,3
1007,4
1008,5
1009,3
1010,8
1011,2
1012,5
1013,3
1014,6
1015,3
1016,6
1017,2
1018,3
1019,4
1020,5
1021,4
1022,8
1023,6
1024,6
1025,2
1026,5
1027,1
1028,4
1029,5
1030,1
1031,8
1032,1
1033,6
1034,7
1035,4
1036,5
1037,5
1038,4
1039,2
1040,0
1041,1
1042,5
1043,1
1044,8
1045,2
1046,2
1047,6
1048,6
1049,5
1050,5
1051,2
1052,5
1053,3
1054,4
1055,8
1056,1
1057,1
1058,3
1059,4
1060,4
1061,1
1062,0
1063,5
1064,0
1065,7
1066,4
1067,7
1068,0
1069,4
1070,8
1071,4
1072,5
1073,7
1074,5
1075,7
1076,2
1077,5
1078,1
1079,2
1080,8
1081,3
1082,0
1083,2
1084,4
1085,7
1086,7
1087,5
1088,5
1089,3
1090,1
1091,3
1092,1
1093,0
1094,1
1095,6
1096,5
1097,4
1098,3
1099,5
1100,3
1101,4
1102,2
1103,8
1104,1
1105,7
1106,2
1107,0
1108,4
1109,4
1110,5
1111,6
1112,2
1113,3
1114,1
1115,0
1116,4
1117,2
1118,5
1119,4
1120,8
1121,6
1122,4
1123,4
1124,1
1125,5
1126,3
1127,5
1128,5
1129,1
1130,2
1131,0
1132,4
1133,7
1134,0
1135,3
1136,5
1137,7
1138,5
1139,6
1140,6
1141,4
1142,1
1143,2
1144,1
1145,2
1146,7
1147,4
1148,5
1149,5
1150,3
1151,5
1152,6
1153,6
1154,4
1155,6
1156,4
1157,5
1158,1
1159,7
1160,3
1161,8
1162,1
1163,5
1164,0
1165,5
1166,4
1167,2
1168,2
1169,4
1170,4
1171,6
1172,2
1173,8
1174,1
1175,7
1176,3
1177,2
1178,7
1179,3
1180,4
1181,3
1182,6
1183,7
1184,6
1185,0
1186,7
1187,0
1188,3
1189,2
1190,7
1191,6
1192,3
1193,3
1194,7
1195,7
1196,7
1197,3
1198,2
1199,5
1200,4
1201,4
1202,7
1203,3
1204,2
1205,1
1206,6
1207,8
1208,5
1209,4
1210,2
1211,4
1212,5
1213,7
1214,4
1215,4
1216,7
1217,5
1218,7
