ImageId,Label
1,2
2,0
3,8
4,6
5,2
6,6
7,0
8,3
9,0
10,3
11,5
12,6
13,4
14,0
15,4
16,3
17,3
18,1
19,8
20,0
21,8
22,1
23,1
24,4
25,6
26,4
27,2
28,7
29,4
30,6
31,7
32,4
33,4
34,1
35,5
36,4
37,5
38,4
39,3
40,5
41,6
42,6
43,4
44,8
45,6
46,6
47,7
48,5
49,5
50,4
51,5
52,7
53,7
54,3
55,7
56,2
57,1
58,2
59,3
60,4
61,4
62,1
63,7
64,0
65,0
66,0
67,1
68,7
69,0
70,1
71,5
72,4
73,7
74,7
75,3
76,6
77,5
78,8
79,2
80,3
81,4
82,5
83,1
84,0
85,8
86,2
87,4
88,3
89,5
90,7
91,3
92,0
93,5
94,5
95,2
96,4
97,3
98,6
99,6
100,4
101,1
102,5
103,1
104,0
105,6
106,3
107,0
108,5
109,0
110,4
111,0
112,0
113,4
114,4
115,1
116,5
117,2
118,1
119,4
120,4
121,3
122,7
123,2
124,5
125,5
126,3
127,6
128,7
129,5
130,4
131,4
132,4
133,5
134,0
135,0
136,0
137,3
138,1
139,4
140,4
141,4
142,3
143,4
144,4
145,4
146,7
147,7
148,5
149,2
150,4
151,4
152,3
153,5
154,5
155,4
156,2
157,6
158,4
159,7
160,7
161,3
162,1
163,4
164,4
165,1
166,3
167,6
168,5
169,3
170,0
171,2
172,7
173,7
174,5
175,1
176,3
177,7
178,4
179,1
180,1
181,4
182,5
183,6
184,2
185,4
186,8
187,2
188,1
189,5
190,0
191,6
192,1
193,4
194,6
195,5
196,0
197,8
198,6
199,2
200,8
201,1
202,8
203,0
204,5
205,8
206,0
207,7
208,4
209,5
210,2
211,0
212,8
213,3
214,5
215,6
216,2
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,3
225,2
226,2
227,4
228,5
229,1
230,0
231,0
232,4
233,8
234,1
235,6
236,2
237,2
238,4
239,7
240,5
241,6
242,6
243,2
244,5
245,4
246,4
247,8
248,6
249,3
250,5
251,8
252,6
253,1
254,4
255,7
256,5
257,5
258,2
259,4
260,4
261,5
262,3
263,3
264,5
265,6
266,0
267,5
268,6
269,4
270,1
271,5
272,0
273,5
274,3
275,6
276,5
277,1
278,5
279,7
280,4
281,0
282,7
283,2
284,2
285,5
286,3
287,7
288,5
289,8
290,8
291,5
292,7
293,7
294,8
295,8
296,5
297,3
298,0
299,3
300,2
301,5
302,8
303,7
304,3
305,5
306,3
307,6
308,1
309,4
310,5
311,7
312,5
313,8
314,5
315,0
316,3
317,6
318,4
319,1
320,7
321,5
322,1
323,1
324,8
325,7
326,4
327,4
328,1
329,5
330,5
331,5
332,3
333,1
334,2
335,0
336,8
337,0
338,2
339,5
340,4
341,5
342,3
343,1
344,7
345,5
346,0
347,5
348,5
349,3
350,3
351,5
352,6
353,6
354,2
355,5
356,7
357,6
358,8
359,2
360,5
361,5
362,5
363,3
364,7
365,5
366,2
367,3
368,6
369,1
370,5
371,5
372,6
373,7
374,8
375,7
376,5
377,8
378,5
379,3
380,6
381,5
382,4
383,6
384,4
385,2
386,5
387,2
388,1
389,3
390,6
391,1
392,7
393,6
394,8
395,5
396,1
397,1
398,1
399,7
400,3
401,8
402,7
403,5
404,1
405,1
406,1
407,6
408,3
409,5
410,5
411,4
412,0
413,4
414,1
415,2
416,5
417,1
418,1
419,3
420,5
421,8
422,4
423,5
424,5
425,3
426,1
427,4
428,7
429,5
430,6
431,4
432,7
433,5
434,2
435,3
436,1
437,3
438,8
439,5
440,1
441,5
442,4
443,7
444,4
445,4
446,4
447,5
448,4
449,3
450,8
451,5
452,6
453,5
454,8
455,4
456,6
457,2
458,3
459,5
460,6
461,2
462,6
463,4
464,3
465,4
466,1
467,7
468,5
469,4
470,1
471,1
472,4
473,8
474,4
475,5
476,0
477,3
478,3
479,1
480,0
481,4
482,7
483,1
484,3
485,6
486,8
487,4
488,7
489,3
490,6
491,5
492,4
493,2
494,4
495,4
496,2
497,5
498,3
499,2
500,0
501,4
502,4
503,7
504,5
505,1
506,7
507,4
508,3
509,2
510,2
511,7
512,6
513,7
514,5
515,4
516,3
517,2
518,6
519,4
520,2
521,2
522,7
523,0
524,6
525,6
526,1
527,1
528,1
529,1
530,6
531,0
532,5
533,4
534,7
535,4
536,5
537,5
538,4
539,6
540,2
541,1
542,2
543,7
544,2
545,0
546,4
547,0
548,8
549,2
550,1
551,1
552,3
553,0
554,4
555,2
556,0
557,6
558,4
559,5
560,2
561,1
562,3
563,6
564,1
565,5
566,5
567,4
568,1
569,3
570,4
571,5
572,5
573,4
574,5
575,0
576,4
577,6
578,3
579,4
580,3
581,5
582,1
583,4
584,5
585,8
586,1
587,6
588,3
589,7
590,3
591,7
592,7
593,4
594,4
595,3
596,5
597,5
598,5
599,0
600,3
601,2
602,1
603,7
604,1
605,6
606,2
607,7
608,5
609,4
610,4
611,6
612,4
613,3
614,2
615,2
616,5
617,6
618,1
619,0
620,8
621,7
622,5
623,8
624,4
625,0
626,7
627,3
628,4
629,5
630,3
631,5
632,1
633,7
634,5
635,1
636,4
637,7
638,7
639,7
640,3
641,1
642,6
643,8
644,5
645,6
646,6
647,5
648,5
649,1
650,7
651,4
652,8
653,2
654,0
655,5
656,2
657,4
658,3
659,2
660,6
661,2
662,3
663,4
664,0
665,4
666,5
667,1
668,3
669,4
670,5
671,4
672,8
673,4
674,3
675,6
676,6
677,6
678,3
679,5
680,0
681,6
682,8
683,7
684,5
685,1
686,6
687,4
688,5
689,8
690,8
691,2
692,6
693,0
694,1
695,6
696,4
697,2
698,8
699,7
700,7
701,4
702,2
703,4
704,0
705,5
706,0
707,5
708,3
709,6
710,4
711,3
712,7
713,1
714,5
715,6
716,5
717,2
718,3
719,7
720,5
721,8
722,2
723,1
724,0
725,1
726,0
727,5
728,4
729,4
730,4
731,7
732,1
733,3
734,2
735,6
736,7
737,1
738,5
739,1
740,5
741,4
742,3
743,3
744,4
745,3
746,8
747,2
748,7
749,6
750,5
751,4
752,9
753,4
754,4
755,3
756,4
757,6
758,1
759,1
760,5
761,5
762,0
763,4
764,0
765,4
766,0
767,0
768,5
769,1
770,7
771,4
772,5
773,0
774,1
775,5
776,3
777,4
778,5
779,3
780,1
781,1
782,5
783,7
784,7
785,3
786,5
787,5
788,4
789,5
790,5
791,4
792,3
793,4
794,0
795,4
796,4
797,1
798,6
799,8
800,7
801,1
802,1
803,3
804,3
805,1
806,5
807,8
808,5
809,5
810,1
811,6
812,4
813,4
814,3
815,3
816,4
817,0
818,8
819,6
820,4
821,2
822,0
823,4
824,0
825,1
826,8
827,0
828,3
829,5
830,2
831,5
832,4
833,4
834,8
835,3
836,8
837,5
838,1
839,5
840,5
841,1
842,8
843,0
844,5
845,4
846,5
847,6
848,2
849,5
850,5
851,7
852,8
853,6
854,6
855,3
856,5
857,1
858,3
859,4
860,5
861,0
862,5
863,1
864,4
865,2
866,4
867,5
868,8
869,2
870,3
871,5
872,4
873,4
874,2
875,4
876,5
877,1
878,1
879,0
880,1
881,4
882,6
883,1
884,1
885,2
886,6
887,1
888,5
889,4
890,8
891,1
892,7
893,5
894,0
895,4
896,2
897,7
898,5
899,1
900,1
901,5
902,3
903,5
904,7
905,5
906,6
907,6
908,3
909,2
910,7
911,2
912,1
913,4
914,6
915,1
916,6
917,4
918,5
919,1
920,5
921,5
922,3
923,5
924,7
925,5
926,6
927,8
928,5
929,5
930,3
931,3
932,2
933,1
934,4
935,4
936,3
937,6
938,5
939,8
940,5
941,6
942,2
943,6
944,1
945,0
946,8
947,3
948,2
949,8
950,3
951,5
952,5
953,4
954,3
955,3
956,2
957,7
958,2
959,1
960,2
961,7
962,8
963,4
964,0
965,5
966,5
967,1
968,7
969,7
970,5
971,3
972,2
973,6
974,5
975,5
976,0
977,7
978,1
979,6
980,3
981,4
982,7
983,7
984,6
985,7
986,5
987,0
988,4
989,3
990,2
991,1
992,8
993,4
994,5
995,7
996,3
997,5
998,2
999,2
1000,8
1001,0
1002,7
1003,0
1004,7
1005,1
1006,3
1007,4
1008,5
1009,3
1010,8
1011,2
1012,5
1013,3
1014,6
1015,3
1016,6
1017,2
1018,3
1019,4
1020,5
1021,5
1022,8
1023,7
1024,6
1025,2
1026,5
1027,1
1028,4
1029,5
1030,1
1031,8
1032,1
1033,7
1034,7
1035,4
1036,4
1037,5
1038,4
1039,3
1040,0
1041,1
1042,6
1043,1
1044,8
1045,1
1046,2
1047,7
1048,6
1049,5
1050,5
1051,2
1052,5
1053,3
1054,5
1055,8
1056,1
1057,1
1058,3
1059,5
1060,4
1061,0
1062,0
1063,5
1064,0
1065,7
1066,4
1067,6
1068,0
1069,4
1070,8
1071,2
1072,5
1073,7
1074,5
1075,7
1076,2
1077,5
1078,1
1079,2
1080,8
1081,3
1082,0
1083,3
1084,3
1085,7
1086,6
1087,6
1088,5
1089,3
1090,1
1091,3
1092,3
1093,1
1094,1
1095,6
1096,5
1097,5
1098,3
1099,5
1100,3
1101,4
1102,2
1103,8
1104,1
1105,7
1106,2
1107,0
1108,3
1109,4
1110,5
1111,7
1112,2
1113,3
1114,1
1115,0
1116,4
1117,2
1118,5
1119,4
1120,8
1121,6
1122,4
1123,4
1124,1
1125,5
1126,3
1127,6
1128,5
1129,1
1130,2
1131,1
1132,4
1133,7
1134,0
1135,3
1136,5
1137,6
1138,4
1139,7
1140,7
1141,5
1142,1
1143,2
1144,1
1145,2
1146,7
1147,4
1148,5
1149,5
1150,3
1151,5
1152,6
1153,5
1154,4
1155,6
1156,4
1157,5
1158,1
1159,7
1160,2
1161,9
1162,1
1163,5
1164,0
1165,5
1166,4
1167,3
1168,2
1169,4
1170,4
1171,7
1172,2
1173,8
1174,1
1175,7
1176,3
1177,2
1178,7
1179,2
1180,4
1181,4
1182,6
1183,7
1184,6
1185,0
1186,7
1187,0
1188,3
1189,1
1190,7
1191,6
1192,3
1193,3
1194,6
1195,7
1196,8
1197,3
1198,2
1199,5
1200,4
1201,4
1202,7
1203,3
1204,1
1205,0
1206,6
1207,8
1208,5
1209,4
1210,1
1211,5
1212,5
1213,7
1214,4
1215,4
1216,7
1217,5
1218,7
